"brand","detail_link","id","image","name","price","quantity_rating","rating"
"Westman Atelier","https://www.sephora.com/product/westman-atelier-lip-suede-P468435?skuId=2471241","P468435","https://www.sephora.com/productimages/sku/s2471241-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Lip Suede Lipstick Palette","$85.00","80","3.76"
"Givenchy","https://www.sephora.com/product/le-rouge-P377755?skuId=2595346","P377755","https://www.sephora.com/productimages/sku/s2595346-main-zoom.jpg?imwidth=270","Rouge Interdit Intense Silk Satin Matte Lipstick","$33.00 - $44.00","289","4.52"
"NARS","https://www.sephora.com/product/nars-mini-afterglow-lip-shine-gloss-set-P482702?skuId=2568764","P482702","https://www.sephora.com/productimages/sku/s2568764-main-zoom.jpg?imwidth=270","Mini Afterglow Lip Shine Gloss Set","$25.00","29","3.59"
"Hourglass","https://www.sephora.com/product/no-28-lip-treatment-oil-P379096?skuId=1500826","P379096","https://www.sephora.com/productimages/sku/s1500826-main-zoom.jpg?imwidth=270","N° 28 Lip Treatment Oil","$56.00","411","3.82"
"Gucci","https://www.sephora.com/product/gucci-glow-highlighter-lip-gloss-gift-set-P515362?skuId=2860443","P515362","https://www.sephora.com/productimages/sku/s2860443-main-zoom.jpg?imwidth=270","Glow Highlighter & Lip Gloss Gift Set","$80.00","0","0.00"
"NUDESTIX","https://www.sephora.com/product/nudestix-hydra-peptide-lip-butter-with-mini-belle-P482055?skuId=2554939","P482055","https://www.sephora.com/productimages/sku/s2554939-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Hydrating Peptide Lip Butter","$20.00","553","4.56"
"NUDESTIX","https://www.sephora.com/product/nude-plumping-lip-glace-P444920?skuId=2228773","P444920","https://www.sephora.com/productimages/sku/s2228773-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Nude Plumping Lip Glace","$28.00","82","4.38"
"Glossier","https://www.sephora.com/product/g-suit-soft-touch-lip-creme-P505873?skuId=2670255","P505873","https://www.sephora.com/productimages/sku/s2670255-main-zoom.jpg?imwidth=270","G Suit Soft Touch Matte Liquid Lip Crème","$24.00","112","3.88"
"Dr. Dennis Gross Skincare","https://www.sephora.com/product/derminfusions-tm-plump-repair-lip-treatment-with-hyaluronic-acid-P506789?skuId=2691103","P506789","https://www.sephora.com/productimages/sku/s2691103-main-zoom.jpg?imwidth=270","DermInfusions™ Plump + Repair Lip Treatment with Hyaluronic Acid","$25.00 - $45.00","422","3.43"
"Bobbi Brown","https://www.sephora.com/product/pot-rouge-for-lips-cheeks-P270553?skuId=1418078","P270553","https://www.sephora.com/productimages/sku/s1418078-main-zoom.jpg?imwidth=270","Pot Rouge Blush for Lips and Cheeks","$36.00","622","4.62"
"iNNBEAUTY PROJECT","https://www.sephora.com/product/innbeauty-project-get-glazed-lip-duo-P505617?skuId=2674372","P505617","https://www.sephora.com/productimages/sku/s2674372-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Get Glazed Lip Duo","$29.00","215","4.28"
"CLINIQUE","https://www.sephora.com/product/repairwear-intensive-lip-treatment-P122782?skuId=883306","P122782","https://www.sephora.com/productimages/sku/s883306-main-zoom.jpg?imwidth=270","Repairwear™ Intensive Lip Treatment","$35.00","282","4.29"
"Hourglass","https://www.sephora.com/product/confession-ultra-slim-high-intensity-refillable-lipstick-P420411?skuId=2303204","P420411","https://www.sephora.com/productimages/sku/s2303204-main-zoom.jpg?imwidth=270","Confession™ Ultra Slim High Intensity Refillable Lipstick","$39.00","817","4.45"
"NUDESTIX","https://www.sephora.com/product/intense-matte-lip-cheek-pencil-P405290?skuId=1783794","P405290","https://www.sephora.com/productimages/sku/s1783794-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Intense Matte Lip Pencil + Cheek","$27.00","313","4.33"
"Givenchy","https://www.sephora.com/product/le-rouge-interdit-cream-velvet-lipstick-P507785?skuId=2691236","P507785","https://www.sephora.com/productimages/sku/s2691236-main-zoom.jpg?imwidth=270","Le Rouge Interdit Cream Velvet Lipstick","$44.00","282","4.28"
"HAUS LABS BY LADY GAGA","https://www.sephora.com/product/hy-power-eye-cheek-lip-pigment-paint-P500298?skuId=2572279","P500298","https://www.sephora.com/productimages/sku/s2572279-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Hy-Power Eye, Cheek & Lip Pigment Paint","$24.00","438","4.17"
"tarte","https://www.sephora.com/product/tarte-maracuja-juicy-plump-perfection-lip-liner-duo-P509683?skuId=2741072","P509683","https://www.sephora.com/productimages/sku/s2741072-main-zoom.jpg?imwidth=270","maracuja juicy plump perfection lip & liner duo","$29.00","21","2.95"
"Bobbi Brown","https://www.sephora.com/product/crushed-oil-infused-gloss-shimmer-P500606?skuId=2577310","P500606","https://www.sephora.com/productimages/sku/s2577310-main-zoom.jpg?imwidth=270","Crushed Oil-Infused Gloss Shimmer","$33.00","13","3.46"
"PATRICK TA","https://www.sephora.com/product/monochrome-moment-precision-lip-crayon-P451937?skuId=2281681","P451937","https://www.sephora.com/productimages/sku/s2281681-main-zoom.jpg?imwidth=270","Monochrome Moment Precision Lip Crayon","$26.00","362","4.54"
"NUDESTIX","https://www.sephora.com/product/nudestix-nude-love-lip-palette-P515469?skuId=2854214","P515469","https://www.sephora.com/productimages/sku/s2854214-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Nude Love Lip Palette","$69.00","0","0.00"
"Then I Met You","https://www.sephora.com/product/then-i-met-you-honey-dew-hydrating-exfoliating-lip-mask-P514200?skuId=2828788","P514200","https://www.sephora.com/productimages/sku/s2828788-main-zoom.jpg?imwidth=270","Honey Dew Hydrating and Exfoliating Lip Mask","$24.00","100","4.65"
"Fashion Fair","https://www.sephora.com/product/fashion-fair-iconic-lipstick-P476493?skuId=2476448","P476493","https://www.sephora.com/productimages/sku/s2476448-main-zoom.jpg?imwidth=270","Iconic Lipstick","$29.00","91","4.56"
"goop","https://www.sephora.com/product/colorblur-tinted-glow-lip-cheek-balm-with-vitamin-c-P508431?skuId=2709491","P508431","https://www.sephora.com/productimages/sku/s2709491-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Colorblur Tinted Glow Lip + Cheek Balm with Vitamin C","$34.00","433","4.28"
"Charlotte Tilbury","https://www.sephora.com/product/charlotte-tilbury-collagen-lip-bath-gloss-walk-no-shame-collection-P462847?skuId=2368561","P462847","https://www.sephora.com/productimages/sku/s2368561-main-zoom.jpg?imwidth=270","Collagen Lip Bath Gloss - Walk of No Shame Collection","$35.00","38","3.68"
"Augustinus Bader","https://www.sephora.com/product/the-lip-balm-P516364?skuId=2874246","P516364","https://www.sephora.com/productimages/sku/s2874246-main-zoom.jpg?imwidth=270","The Lip Balm","$46.00","1","5.00"
"Danessa Myricks Beauty","https://www.sephora.com/product/danessa-myricks-beauty-groundwork-palette-blooming-romance-eyeshadow-palette-P509948?skuId=2738649","P509948","https://www.sephora.com/productimages/sku/s2738649-main-zoom.jpg?imwidth=270","Groundwork: Blooming Romance - Palette For Eyes, Brows, Face & Lips","$65.00","160","4.46"
